Dosya Adı,Dosya Yolu,Eksik Alanlar
Ali Kuzu - Ali Kuşçu - Bilgi Güneşi Gökbilimci (Paraf).pdf,D:\Kitaplarrrrrr\test2\Ali Kuzu - Ali Kuşçu - Bilgi Güneşi Gökbilimci (Paraf).pdf,"series, language"
Ali Kuzu - Dünyanın İlk Mühendisi El-Cezeri (Paraf).pdf,D:\Kitaplarrrrrr\test2\Ali Kuzu - Dünyanın İlk Mühendisi El-Cezeri (Paraf).pdf,"series, language"
Ali Kuzu - Harezmi - Sıfır Rakamını Bulan Deha (Paraf).pdf,D:\Kitaplarrrrrr\test2\Ali Kuzu - Harezmi - Sıfır Rakamını Bulan Deha (Paraf).pdf,series
Andrew Mango - Atatürk (Remzi).pdf,D:\Kitaplarrrrrr\test2\Andrew Mango - Atatürk (Remzi).pdf,series
Asım Bezirci - Nazım Hikmet (Evrensel Basım Yayın).pdf,D:\Kitaplarrrrrr\test2\Asım Bezirci - Nazım Hikmet (Evrensel Basım Yayın).pdf,"series, language"
Kemal Sülker - Nazım Hikmet'in Gerçek Yaşamı - 01 - 1902-1928 (Yalçın).pdf,D:\Kitaplarrrrrr\test2\Kemal Sülker - Nazım Hikmet'in Gerçek Yaşamı\Kemal Sülker - Nazım Hikmet'in Gerçek Yaşamı - 01 - 1902-1928 (Yalçın).pdf,series
Kemal Sülker - Nazım Hikmet'in Gerçek Yaşamı - 02 - 1929-1933 (Yalçın).pdf,D:\Kitaplarrrrrr\test2\Kemal Sülker - Nazım Hikmet'in Gerçek Yaşamı\Kemal Sülker - Nazım Hikmet'in Gerçek Yaşamı - 02 - 1929-1933 (Yalçın).pdf,series
Kemal Sülker - Nazım Hikmet'in Gerçek Yaşamı - 03 - 1934-1935 (Yalçın).pdf,D:\Kitaplarrrrrr\test2\Kemal Sülker - Nazım Hikmet'in Gerçek Yaşamı\Kemal Sülker - Nazım Hikmet'in Gerçek Yaşamı - 03 - 1934-1935 (Yalçın).pdf,series
Kemal Sülker - Nazım Hikmet'in Gerçek Yaşamı - 04 - 1936-1937 (Yalçın).pdf,D:\Kitaplarrrrrr\test2\Kemal Sülker - Nazım Hikmet'in Gerçek Yaşamı\Kemal Sülker - Nazım Hikmet'in Gerçek Yaşamı - 04 - 1936-1937 (Yalçın).pdf,series
Kemal Sülker - Nazım Hikmet'in Gerçek Yaşamı - 05 - 1938 (Yalçın).pdf,D:\Kitaplarrrrrr\test2\Kemal Sülker - Nazım Hikmet'in Gerçek Yaşamı\Kemal Sülker - Nazım Hikmet'in Gerçek Yaşamı - 05 - 1938 (Yalçın).pdf,series
